;
Systèmes : ; Unix/Linux (Arch, Debian, Ubuntu)
Maths : ; R 
Aligneurs automatiques : ; sppas, p2fa
Languages : ; bash, praat, Rmarkdown, LaTeX
Divers : ; Vim 
